gl_header_id,transaction_number,transaction_type,transaction_source,transaction_date,posting_date,gl_date,period_name,fiscal_year,fiscal_period,currency_code,currency_conversion_rate,reference_1,reference_2,reference_3,description,status,reversal_flag,reversal_header_id,legal_entity_id,ledger_id,chart_of_accounts_id,created_by,creation_date,last_updated_by,last_update_date
1001,TXN-2024-001,INVOICE,AP,2024-01-15,2024-01-15,2024-01-15,JAN-24,2024,1,USD,1.0,INV-001,VENDOR-001,PO-001,Office supplies purchase,POSTED,N,,1,1,1,SYSTEM,2024-01-15 10:30:00,SYSTEM,2024-01-15 10:30:00
1002,TXN-2024-002,PAYMENT,AP,2024-01-20,2024-01-20,2024-01-20,JAN-24,2024,1,USD,1.0,PAY-001,VENDOR-001,CHK-001,Payment for office supplies,POSTED,N,,1,1,1,SYSTEM,2024-01-20 14:15:00,SYSTEM,2024-01-20 14:15:00
1003,TXN-2024-003,SALES,AR,2024-01-25,2024-01-25,2024-01-25,JAN-24,2024,1,USD,1.0,INV-S001,CUST-001,SO-001,Software license sale,POSTED,N,,1,1,1,SYSTEM,2024-01-25 09:45:00,SYSTEM,2024-01-25 09:45:00
1004,TXN-2024-004,RECEIPT,AR,2024-01-30,2024-01-30,2024-01-30,JAN-24,2024,1,USD,1.0,RCT-001,CUST-001,DEP-001,Customer payment received,POSTED,N,,1,1,1,SYSTEM,2024-01-30 16:20:00,SYSTEM,2024-01-30 16:20:00
1005,TXN-2024-005,PAYROLL,GL,2024-01-31,2024-01-31,2024-01-31,JAN-24,2024,1,USD,1.0,PR-001,,,Monthly payroll January,POSTED,N,,1,1,1,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
1006,TXN-2024-006,DEPRECIATION,GL,2024-01-31,2024-01-31,2024-01-31,JAN-24,2024,1,USD,1.0,DEP-001,,,Monthly depreciation,POSTED,N,,1,1,1,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
1007,TXN-2024-007,INVOICE,AP,2024-02-05,2024-02-05,2024-02-05,FEB-24,2024,2,EUR,0.92,INV-002,VENDOR-002,PO-002,Marketing services - Europe,POSTED,N,,1,1,1,SYSTEM,2024-02-05 11:20:00,SYSTEM,2024-02-05 11:20:00
1008,TXN-2024-008,SALES,AR,2024-02-10,2024-02-10,2024-02-10,FEB-24,2024,2,USD,1.0,INV-S002,CUST-002,SO-002,Hardware sale,POSTED,N,,1,1,1,SYSTEM,2024-02-10 13:30:00,SYSTEM,2024-02-10 13:30:00
1009,TXN-2024-009,ACCRUAL,GL,2024-02-15,2024-02-15,2024-02-15,FEB-24,2024,2,USD,1.0,ACC-001,,,Accrued interest expense,POSTED,N,,1,1,1,SYSTEM,2024-02-15 17:45:00,SYSTEM,2024-02-15 17:45:00
1010,TXN-2024-010,REVERSAL,GL,2024-02-20,2024-02-20,2024-02-20,FEB-24,2024,2,USD,1.0,REV-001,,,Reversal of accrual,POSTED,Y,1009,1,1,1,SYSTEM,2024-02-20 08:15:00,SYSTEM,2024-02-20 08:15:00
1011,TXN-2024-011,INVOICE,AP,2024-03-01,2024-03-01,2024-03-01,MAR-24,2024,3,USD,1.0,INV-003,VENDOR-003,PO-003,Legal services,POSTED,N,,1,1,1,SYSTEM,2024-03-01 10:00:00,SYSTEM,2024-03-01 10:00:00
1012,TXN-2024-012,SALES,AR,2024-03-05,2024-03-05,2024-03-05,MAR-24,2024,3,USD,1.0,INV-S003,CUST-003,SO-003,Subscription renewal,POSTED,N,,1,1,1,SYSTEM,2024-03-05 14:30:00,SYSTEM,2024-03-05 14:30:00
1013,TXN-2023-013,SALES,AR,2023-12-15,2023-12-15,2023-12-15,DEC-23,2023,12,USD,1.0,INV-S004,CUST-004,SO-004,Year-end software sale,POSTED,N,,1,1,1,SYSTEM,2023-12-15 16:45:00,SYSTEM,2023-12-15 16:45:00
1014,TXN-2023-014,PAYROLL,GL,2023-12-31,2023-12-31,2023-12-31,DEC-23,2023,12,USD,1.0,PR-012,,,December payroll,POSTED,N,,1,1,1,SYSTEM,2023-12-31 23:59:00,SYSTEM,2023-12-31 23:59:00
1015,TXN-2024-015,ADJUSTMENT,GL,2024-03-15,2024-03-15,2024-03-15,MAR-24,2024,3,USD,1.0,ADJ-001,,,Inventory adjustment,POSTED,N,,1,1,1,SYSTEM,2024-03-15 12:00:00,SYSTEM,2024-03-15 12:00:00 
