gl_line_id,gl_header_id,line_number,line_type,account_code,account_combination_id,entered_dr,entered_cr,accounted_dr,accounted_cr,currency_code,currency_conversion_rate,cost_center_code,department_code,project_code,product_code,location_code,line_description,reference_1,reference_2,reference_3,reference_4,reference_5,balancing_segment_value,tax_code,tax_amount,statistical_amount,quantity,unit_of_measure,status,created_by,creation_date,last_updated_by,last_update_date
10001,1001,1,EXPENSE,70100,1001,500.00,,500.00,,USD,1.0,CC001,ADMIN,PROJ001,PROD001,LOC001,Office supplies expense,INV-001,VENDOR-001,PO-001,,,ADMIN,VAT,50.00,,,EACH,POSTED,SYSTEM,2024-01-15 10:30:00,SYSTEM,2024-01-15 10:30:00
10002,1001,2,LIABILITY,21000,1002,,550.00,,550.00,USD,1.0,CC001,ADMIN,PROJ001,PROD001,LOC001,Accounts payable,INV-001,VENDOR-001,PO-001,,,ADMIN,VAT,50.00,,,EACH,POSTED,SYSTEM,2024-01-15 10:30:00,SYSTEM,2024-01-15 10:30:00
10003,1002,1,LIABILITY,21000,1003,,550.00,,550.00,USD,1.0,CC001,ADMIN,,,LOC001,Payment to vendor,PAY-001,VENDOR-001,CHK-001,,,ADMIN,,0.00,,,EACH,POSTED,SYSTEM,2024-01-20 14:15:00,SYSTEM,2024-01-20 14:15:00
10004,1002,2,ASSET,11000,1004,550.00,,550.00,,USD,1.0,CC001,ADMIN,,,LOC001,Cash payment,PAY-001,VENDOR-001,CHK-001,,,ADMIN,,0.00,,,EACH,POSTED,SYSTEM,2024-01-20 14:15:00,SYSTEM,2024-01-20 14:15:00
10005,1003,1,ASSET,12000,1005,15000.00,,15000.00,,USD,1.0,CC002,SALES,PROJ002,PROD002,LOC001,Accounts receivable,INV-S001,CUST-001,SO-001,,,SALES,,0.00,,,LICENSE,POSTED,SYSTEM,2024-01-25 09:45:00,SYSTEM,2024-01-25 09:45:00
10006,1003,2,REVENUE,40000,1006,,15000.00,,15000.00,USD,1.0,CC002,SALES,PROJ002,PROD002,LOC001,Software license revenue,INV-S001,CUST-001,SO-001,,,SALES,,0.00,,,LICENSE,POSTED,SYSTEM,2024-01-25 09:45:00,SYSTEM,2024-01-25 09:45:00
10007,1004,1,ASSET,11000,1004,15000.00,,15000.00,,USD,1.0,CC002,SALES,,,LOC001,Cash received,RCT-001,CUST-001,DEP-001,,,SALES,,0.00,,,EACH,POSTED,SYSTEM,2024-01-30 16:20:00,SYSTEM,2024-01-30 16:20:00
10008,1004,2,ASSET,12000,1005,,15000.00,,15000.00,USD,1.0,CC002,SALES,,,LOC001,AR collection,RCT-001,CUST-001,DEP-001,,,SALES,,0.00,,,EACH,POSTED,SYSTEM,2024-01-30 16:20:00,SYSTEM,2024-01-30 16:20:00
10009,1005,1,EXPENSE,60100,1007,8000.00,,8000.00,,USD,1.0,CC003,HR,,,LOC001,Salary expense,PR-001,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
10010,1005,2,EXPENSE,60200,1008,2000.00,,2000.00,,USD,1.0,CC003,HR,,,LOC001,Benefits expense,PR-001,,,,,HR,,0.00,,,HOURS,POSTED,SYSTEM,2024-01-31 23:59:00,SYSTEM,2024-01-31 23:59:00
